,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,6,2,0,7,5,3,7,1,0
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,6,2,0,7,6,2,7,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,5,3,0,7,5,0,7,0,0
190,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,5,0,0,7,3,2,5,0,0
231,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,4,5,0,6,0,0
309,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,6,0,0,7,2,0,7,2,0,7,0,0
341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,10,0,0,7,1,3,7,0,0
386,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,4,0,0,4,0,0,6,2,3,4,0,0
392,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0,2,3,0,6,0,0
444,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,5,0,0,7,2,0,7,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,6,5,0,7,5,0,7,0,0
498,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,4,0,0,5,0,0,4,4,0,7,0,0
