0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,7,0,3,6,0,0,0.0,160073753.02882499,230600000.0,0.0,0.0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,5,0,0,4,0,0,5,0,3,7,0,0,0.0,198923561.1149437,61400000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,5,0,0,7,0,0,4,0,4,4,0,0,4694693.644672721,190085334.05860835,121200000.0,31.94213744583227,0.00024155648168353662
0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,3,0,0,0,3,0,0,3,0,0,4,2,2,3,0,0,1235640.0079635205,129444018.49402002,503700000.0,31.779196817261667,6.69614612988271e-05
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,5,0,0,5,0,0,11101088.468527354,117755965.2884528,261300000.0,221.20161480607163,0.0008914691696470495
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0,7,0,0,6,0,0,0.0,134297277.30774057,261300000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,6,0,0,7,0,2,7,0,0,0.0,219147840.30315223,0.0,0.0,0.0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,7,0,2,6,0,0,1264532.850051387,143573544.93847984,230600000.0,15.662763357345145,0.00021007756092443892
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,7,0,0,7,0,0,7,0,0,5991329.652599515,194378335.65007702,0.0,72.57147183588683,0.000266675919369034
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3,0,0,4,0,0,3,0,0,4,0,0,5,0,0,7531940.533696546,166219982.9084081,92100000.0,99.48550006033452,0.00035914411530396043
